Number,Symbol,Company Name,Market Cap,Stock Price,Revenue
1,A,"Agilent Technologies, Inc.",32.56B,114.62,6.63B
2,AA,Alcoa Corporation,7.81B,30.17,12.78B
3,AACB,Artius II Acquisition Inc.,297.23M,10.31,-
4,AACG,ATA Creativity Global,59.83M,1.89,39.06M
5,AACI,Armada Acquisition Corp. II,306.55M,10.33,-
6,AACT,Ares Acquisition Corporation II,705.20M,11.4,-
7,AAL,American Airlines Group Inc.,7.67B,11.62,54.25B
8,AAM,AA Mission Acquisition Corp.,461.29M,10.49,-
9,AAME,Atlantic American Corporation,48.95M,2.4,191.36M
10,AAMI,Acadian Asset Management Inc.,1.60B,44.65,538.20M
11,AAOI,"Applied Optoelectronics, Inc.",1.21B,21.59,368.23M
12,AAON,"AAON, Inc.",6.55B,80.52,1.26B
13,AAP,"Advance Auto Parts, Inc.",3.53B,59.08,8.91B
14,AAPG,Ascentage Pharma Group International,3.91B,41.95,134.35M
15,AAPL,Apple Inc.,"3,403.64B",229.35,408.63B
16,AARD,"Aardvark Therapeutics, Inc.",262.52M,12.1,-
17,AAT,"American Assets Trust, Inc.",1.46B,18.86,448.32M
18,AAUC,Allied Gold Corporation,1.35B,11.72,958.09M
19,AB,AllianceBernstein Holding L.P.,4.47B,40.4,78.83M
20,ABAT,American Battery Technology Company,198.93M,2.15,1.86M
21,ABBV,AbbVie Inc.,349.87B,198.05,58.33B
22,ABCB,Ameris Bancorp,4.59B,67.1,1.12B
23,ABCL,AbCellera Biologics Inc.,1.27B,4.25,32.88M
24,ABEO,Abeona Therapeutics Inc.,320.24M,6.26,-
25,ABEV,Ambev S.A.,35.58B,2.26,16.83B
26,ABG,"Asbury Automotive Group, Inc.",4.37B,222.28,17.26B
27,ABL,"Abacus Global Management, Inc.",606.18M,5.94,134.58M
28,ABLV,Able View Global Inc.,48.45M,0.981,128.93M
29,ABM,ABM Industries Incorporated,2.97B,47.74,8.50B
30,ABNB,"Airbnb, Inc.",74.09B,121.02,11.58B
31,ABOS,"Acumen Pharmaceuticals, Inc.",82.38M,1.36,-
32,ABP,"Abpro Holdings, Inc.",14.95M,0.246,183.00K
33,ABR,"Arbor Realty Trust, Inc.",2.46B,11.82,600.59M
34,ABSI,Absci Corporation,409.61M,2.84,4.82M
35,ABT,Abbott Laboratories,233.71B,134.28,43.11B
36,ABTS,Abits Group Inc.,10.19M,4.3,6.71M
